business_id,name,domain
0108515-7,Oy Halva Ab,halva.fi
0115425-5,As. Oy Keravan Sariolantie 5,fazer.fi
0109920-9,Kiinteistö-Hypoteekki Oy,veho.fi
0102179-4,As. Oy Matinraitti 14,
0148850-3,Helläkoski Oy,
0101064-9,Assa Abloy Entrance Systems Finland Oy,
0116301-2,Nahkakunta,
0100092-6,Espoon Lukkohuolto Oy,
0100563-9,Candy Hoover Oy,
0148665-5,Tammi-Tuote Ky,
0100573-5,BMI Suomi Oy,
0110503-1,Kuljetusliike Köli Oy,
0116476-0,Pääkaupungin Päällystö ry,
0108013-7,Avarn Security Oy,
0100399-1,Oy Bemet Trading Ab,
0148722-8,Arctic-Fur Oy,
0103349-6,"Aluesiivous Ky, Ritva Laaksonen",
0148714-8,Alestalon Mattokutomo Oy,
0100435-3,Esbogård Aktiebolag,
0110610-6,Laivapoltin Oy,
0100123-2,Oy Emar Ab,
0101102-7,Artek Foundation Oy,
0101053-4,Oy Stora Ådholmen Ab,
0100906-6,Oy Pattistenaukio,
0100915-4,Pienet Niittysaaret Oy,
0110085-5,Knorring OY AB,
0118968-5,Oy Kisalämpö Ab,
0100369-2,Sunark Oy,
0106830-6,Auto-Ahonen Oy,
0110194-6,Konsulttikeskus Oy,
0146866-8,Vekka Group Oy,
0102244-7,As.Oy Liinasaarenpuisto,
0101082-5,Koivulan Filmi ja Video Oy,
0100815-1,Marine Trading Oy,
0108023-3,Finnair Oyj,
0108057-5,Finnair Cargo Oy,
0112551-8,Passif Oy,
0112831-3,Polarputki Oy,
0115761-6,Veho Oy Ab,
0100582-3,Ilmex Oy,
0109875-9,Evertaste Oy,
0111521-3,My Invest Oy,
0102615-7,Kiint. Oy Havukosken Palvelutalo,
0100598-9,Isännät Oy,
0148453-7,Lahden Kellokeskus Oy,
0148624-1,Kuljetusliike Jari Salminen Ky,
0149061-1,Polttimo Oy,
0149232-6,Myrkytys Oy,
0148321-9,Asianajotoimisto Kurki-Suonio Oy,
0100873-3,Novo Nordisk Farma Oy,
0109485-4,JX-mainos Oy,
0109393-1,Javanainen Oy,
0105201-3,Papru Invest Oy,
0106954-4,Banmark Oy Ab,
0107127-3,Bruce Campbell Group Oy,
0100583-1,Innamaa Engineering Oy,
0112134-9,Nuovo Oy,
0108170-3,Finn-Sellers Oy,
0112371-5,Paineliitin Oy,
0105781-8,Trans SF-Cargo Oy,
0100130-4,Dynava Oy,
0113024-5,Putkiyhtymä Oy,
0148636-4,E & H Savutie,
0148302-4,Autokoulu Ajokortti Ky,
0148320-0,Asianajotoimisto Osmo Mäkinen Oy,
0149220-3,Oy J. Mononen,
0113570-8,Flint Group Finland Oy,
0149221-1,HS-Yrityspalvelu Oy,
0149057-4,Lahden Konservatorio Oy,
0100455-6,Espoon KTK Oy,
0105605-7,Kuljetusliike Mauri Sepponen Oy,
0145371-4,As. Oy Asikkalan Anianmetsä,
0149017-9,Lahden Kiinteistönotariaatti Oy,
0148902-0,Kaivolan Kuljetus Oy,
0146321-8,As. Oy Kansankartano,
0146336-5,As. Oy Lehmuksenkukka,
0149350-5,Rinteen Kuljetus Oy,
0149001-3,Lahden Isännöitsijätoimisto Oy,
0107838-7,Eurotex Oy,
0149219-0,Mono Oy,
0103678-5,PUASIN VEST OY,
0100895-2,Otakallion Autotalli Oy,
0113210-1,Oy Klippan Ab,
0100640-4,Kiinteistöosakeyhtiö Kaskenpaja,
0100992-0,Kiinteistöosakeyhtiö Sammonpaja,
0112274-7,Orbis Oy,
0102282-6,Skanska Oy,
0117330-9,As. Oy Anianpellontie 14,
0148724-4,Arkkitehtitoimisto Rosberg Ikävalko Oy,
0101744-5,Yrjö ja Hanna Kiinteistöt Oy,
0104033-8,Onni Huhtimo & Co Oy,
0109075-7,Beijer Oy,
0112321-3,LEDVANCE Oy,
0101172-1,Ultramarino Oy,
0100346-5,Oy Linde Gas Ab,
0101197-5,Ramboll Finland Oy,
0148682-3,Tolvanen Oy,
0100571-9,Iatrodata OY,
0110146-0,Jetflite Oy,
0104590-5,H. Lahtinen & Co,
0149340-9,Tola Oy,
0108871-0,Hermesia Oy,
0113885-3,Show Center Oy,
0100964-8,Xerox Oy,
0100905-8,Parttiputki Oy,
0107629-3,Koy Välittäjä 3,
0148677-8,Tili- ja Tilintarkastustoimisto Ahti Seppälä Ky,
0108305-5,PMC Hydraulics Oy,
0113325-1,Oy Rehau Ab,
0114966-7,Calderys Finland Oy,
0116955-3,"Suomen Kylmäyhdistys ry, Kylföreningen i Finland rf",
0149178-8,Annaria Oy,
0148312-0,Arkkitehtitoimisto Tupala Ky,
0119132-0,Konalanvuoren Lämpö Oy,
0148557-2,Nuutti Grilli Ky,
0149087-3,LSK Group Oy,
0146357-6,As. Oy Kastanjakatu 6,
0149366-0,Saksalan Huolto Oy,
0102167-1,Konsultointi-Kapaset Oy,
0107714-9,Erikuljetus Oy,
0109024-7,Hunskolvotti Oy,
0124273-0,Kiinteistö-Oy Rajareuna,
0146303-1,As. Oy Haaparousku,
0149209-4,Metsämaan Lämpö Oy,
0148793-0,Ewaldina Oy,
0108052-4,Lukitusturva Oy,
0148444-9,Kääpä Oy,
0109486-2,Hevek Oy,
0104961-5,"Mopo-Sport, Saukkonen & Salomaa",
0112077-6,Norlas Oy,
0116015-3,Väritukku Oy,
0108597-4,HD-Parts Oy,
0100809-8,Lempeäliike Design Oy,
0101083-3,Suunnittelukymppi OY,
0148303-2,MP-Kiinteistöt Oy,
0101783-2,As. Oy Karakalliontie 5,
0100723-9,Konttorivalvonta Oy,
0100650-0,Kauko Oy,
0108147-1,Signal Partners Oy,
0113769-0,Schetelig Oy,
0100593-8,Oy Interchemia Ab,
0137008-9,Länsi-Suomen Polttoöljy Oy,
0106432-1,Robert Bosch Oy,
0110050-5,Kitkaliimaus Oy,
0100623-6,Esteri Pesulakoneet Oy,
0110578-7,Lahtinen & Kumpp. Oy,
0115935-5,Aertiv Oy,
0101163-3,Fincoil LU-VE Oy,
0111169-3,Machinery Oy,
0116173-8,Boreo Oyj,
0106438-0,Alihankkija Oy,
0112805-7,Oy Alexander Tillander Ab,
0103704-0,TWP Trading Oy,
0113159-8,Oy Rakennuspartio,
0115411-6,Saga Furs Oyj,
0109269-9,Interrent Oy,
0107742-1,Er-Te Oy,
0101937-9,As. Oy Korsumuisto,
0115178-3,Kuljetus Oy T-J,
0118833-2,As. Oy Helsingin Kauppalantie 29,
0110516-2,Kraftmek Oy,
0148352-6,Erolan Kumi Oy,
0149418-8,Sopenkorven Autokorjaamo Oy,
0112536-6,Parmax Oy,
0111149-0,Oy Maanterä Ab,
0116216-7,YTM - Industrial Oy,
0100076-6,kahvitupa Kaj ja Rita Oy,
0116115-6,Biaxis Oy Ltd,
0100735-1,Kule Oy,
0148837-8,Kiveriön Auto-osa Oy,
0115486-1,Amadeus Finland Oy,
0113746-3,Tremco CPG Finland Oy,
0107034-2,Oy Beweship Group Ab,
0149166-5,Lämpösäätö Oy,
0101012-0,Oy Selk Ab,
0100554-0,Heiset Oy,
0111393-9,Oy Matkahuolto Ab,
0101239-6,Esbo torkandelslag,
0101201-1,Solarrakennus Oy,
0112837-2,DEKRA Industrial Oy,
0146322-6,As. Oy Kastanjankukka,
0146325-0,As. Oy Kirsikankukka,
0149190-5,Markkinointitoimisto Heikkens Oy,
0113698-9,Satotukku Oy,
0100825-8,MC-Group Oy,
0101315-3,Lomayhtymä ry,
0101058-5,Sunita Oy,
0110020-6,Suomen Kirjastopalvelu Oy,
0105636-4,Antti Simula & Co. Oy,
0107312-1,Oy Teknotherm Ab,
0114852-5,Oy Teknocalor Ab,
0101068-1,Oy Suomen LEGO Ab,
0100782-9,Oy Linton Ab,
0100537-2,Gumbölen Ratsastuskeskus Oy,
0111342-9,Markkinointi Uikkanen Oy,
0100988-3,Saherma Oy,
0110136-4,Masino-Konaflex Oy,
0111375-2,Masino Oy,
0114275-6,voestalpine High Performance Metals Finland Oy Ab,
0108254-6,Oy Ford Ab,
0112229-6,Omikron Oy,
0113613-7,Salok Osk,
0114795-2,Oy Teboil Ab,
0148683-1,Tonttilan Nosto ja Kuljetus Oy,
0148301-6,Kuljetusliike P & A & H Ahonen Oy,
0148619-6,Bus Travel Oy Reissu Ruoti,
0110682-7,Lastentarvike Oy,
0113600-6,Salinas Oy,
0108210-8,DHL Freight (Finland) Oy,
0112002-0,SGN Group Oy,
0114209-4,Sumeko Oy,
0109526-7,Kaasuvalo Osakeyhtiö,
0111652-3,Miele Oy,
0111575-8,Koulutuskampa Oy,
0110900-8,Leonard Lindelöf Konetehdas Osakeyhtiö,
0111242-6,Mako Osakeyhtiö,
0112458-2,Paloturva Oy,
0118090-4,Heteka Oy,
0115003-5,Meconet Oy,
0100460-1,Espoon Kiinteistö- ja Notariaattipalvelu Oy,
0101084-1,Suunto Oy,
0149041-9,Pilkington Lahden Lasitehdas Oy,
0105792-2,Taksimiehet Welin Oy,
0148884-5,Isku-Yhtymä Oy,
0105330-7,Matti Poutanen & Co Oy,
0109470-7,Oy K. Juslin Ab,
0110551-7,Laatuteos Oy,
0111470-4,Mediekono Oy,
0114699-2,Talotieto Oy,
0113520-6,R. Lehto Oy,
0104793-5,Maalaamo Pauli Hietanen Oy,
0115004-3,Teräskaira Oy,
0101960-0,As. Oy Kuhilas,
0148526-5,Mainoskuvaamo Viljakainen Oy,
0148883-7,Isku Keittiöt Oy,
0105171-5,TSG Finland Oy,
0100683-4,Kiinteistöketju Oy,
0149475-1,Teknoware Oy,
0106699-2,Asfalttitaipale Oy,
0100761-8,Laitoskone Oy,
0103883-6,Kari-Pekka Sihvonen Oy,
0102236-7,As. Oy Munkkiluodonkuja 6,
0149254-5,Originator Oy,
0113441-4,Ristex Oy,
0115756-0,Autokoulu Vauhti Oy,
0148496-7,I. Taavila Oy,
0149267-6,Pallas-Wood Oy,
0101303-0,Keilaniemen Päiväkotiyhdistys r.y.,
0113275-0,Rautarantala Oy,
0105551-3,Hiustiede - Hair science Oy,
0109696-4,ITW CONSTRUCTION PRODUCTS OY,
0110154-0,Konekauha Oy,
0111696-1,Eiri-Tuote Oy,
0101321-7,Marjalaxin päiväkodin kannatusyhdistys ry,
0100352-9,Alfacos Ltd Oy,
0149406-5,Oy Skandinaviska Träimport Ab,
0101183-6,Vakiolämpö Oy,
0101159-6,Oy Toppi Ab,
0100294-8,Kommandiittiyhtiö Studio A Peränne & Co,
0100585-8,Inno-tuote Oy,
0101038-2,Solmark Oy,
0111735-8,Monio Oy,
0101139-3,As. Oy Espoon Kelloseppä,
0101754-1,As. Oy Kalasääksentie 4,
0102270-3,As. Oy Westendinportti,
0102439-7,As. Oy Porolahdenpuisto I,
0148521-4,Maakunnan Lasi Oy,
0148804-4,Finn Mareka Oy,
0100549-5,Haukisauna Oy,
0100792-5,Louhentien Liiketalo Oy,
0100004-5,Artjärven Kauppakeskus Oy,
0148892-5,Jokisen Autokiinteistö Oy,
0101279-1,FC Honka ry,
0101147-3,Tili-Favorinit Oy,
0100757-0,Lab-dig Oy,
0101396-2,As. Oy Aapelinkatu 5,
0146129-8,Kempiiri Oy,
0148573-2,Peltisepänliike Pääkkönen Oy,
0100253-4,Pertik Oy Tapiola,
0100289-2,Specialvalimo J. Pap Oy,
0100497-8,Finnboys Oy,
0149483-1,Termotukku Oy,
0100893-6,Oy Oravannahkatori,
0100516-1,Fototapio Oy,
0129878-5,Lounaskahvila Kolmas Pyörä Oy,
0100524-1,Karttapalvelu Schuravleff Oy,
0101220-6,Oy A. Wager Ab,
0112451-5,Oy Palmtek Ab,
0100720-4,EKE-Elektroniikka Oy,
0100315-8,Telinekataja Oy,
0101033-1,Oy Soffcon Kiinteistö Ab,
0101399-7,As. Oy Aapelinkatu 13,
0101419-9,As. Oy Akselinpolku 11,
0101431-6,As. Oy Anjankuja 2,
0101496-5,As. Oy Elsankuja 2,
0101527-1,As. Oy Espoon Matinkulma 5,
0101072-9,MSD Finland Oy,
0100715-9,Kokko Control Oy,
0101410-5,As. Oy Ahku,
0108742-7,Satahami Oy,
0100526-8,Gerako Oy,
0100900-7,Kiinteistöosakeyhtiö Paimenpolku,
0101015-5,Kiinteistöosakeyhtiö Seponpaja,
0146059-4,Paaso-Rantala Oy,
0100420-6,EG-Tuotanto Oy,
0149037-1,Kuljetusliike Kimmo Salomaa Oy,
0101233-7,Åbergin Linja Oy,
0149158-5,L-Fashion Group Oy,
0100137-1,E-P Jalkanen & Co,
0101395-4,As.Oy Espoon Aamuyönpuisto,
0101418-0,As. Oy Akselinpolku 7,
0101138-5,Tietoevry Oyj,
0101477-0,Bostadsaktiebolaget Olarstorp,
0148436-9,Kosofinn Oy,
0100889-9,Opla Oy,
0101474-6,Bostads Ab Björkvägen 3,
0148725-2,"Arkkitehtitoimisto Sipponen, Teerenmaa Oy",
0100634-0,Karivi Oy,
0148753-5,Insinööritoimisto Risto Castren Oy,
0101397-0,As. Oy Aapelinkatu 9,
0100627-9,Kalatekno Oy,
0100860-2,Navi-Star Oy,
0100931-4,Premise-Holding Oy,
0101206-2,Viherkeskus Oy,
0100548-7,Hauen-Lämpö Oy,
0101512-4,As. Oy Espoon Etelätie 2,
0148921-5,Kausi-asu Oy,
0100673-8,Kertatuote Oy,
0148361-4,Finnmari Oy,
0111890-8,Semaster Oy,
0102444-2,As. Oy Peski,
0146366-4,As. Oy Raitavihree,
0101076-1,J & M Parhiala Oy,
0100843-4,Mittaritalo Oy,
0101219-3,Bostads Ab Esbo Svinögränden 1,
0100523-3,Gammelgård Industrifastighet Ab,
0100360-9,Amoila Oy,
0100444-1,Espoon Green House Oy,
0103807-8,Suomen tarvikepalvelu Ky,
0104477-7,Ko-Si kori ja sisustus Oy,
0105946-9,Autojenkuljetus SE Mäkinen Oy,
0109383-5,SC Design Oy,
0115723-7,Varaosavälitys Oy,
0125478-2,Väinön-Paikoitus Oy,
0127158-2,Kasavuoren Huolto Oy,
0130205-1,Koiviston Auto Porvoo Oy,
0132197-3,Vihova Oy,
0137182-3,Koiviston Auto Länsi Oy,
0148054-4,Ylisen Kuljetus Oy,
0148429-7,Koneruutu Alvar Harju ja Kump.,
0148774-6,El Digilin Oy,
